name,raw_name,producer,producer_confidence,year,region,price,original_price,type,castas,alcohol_content,description,url,image_url,store_sku,not_available,garrafeira_source,scraped_at
QUINTA CARDO GRANDE RESERVA BRANCO,Vinho Branco Qta. Cardo Grande Reserva 2021 75 Cl,QUINTA DO CARDO,100,2021,BEIRA INTERIOR,"26,95",,BRANCO,Síria,"12,5","Os vinhos da Quinta do Cardo representam a identidade da Beira Interior. O modo de  produção biológico dos vinhos da Quinta do Cardo, pioneiro em Portugal, permite a preservação da fauna e flora autóctone, fomentando a biodiversidade do nosso ecossistema agrícola, com um forte impacto na qualidade final dos vinhos que aqui são produzidos. Na década de 1930 foi produzido o primeiro vinho na Quinta do Cardo, que recebeu o nome de Branco Maia. Em 1986 foi engarrafado o primeiro branco com a marca Q...",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-branco-qta.-cardo-grande-reserva-2021-75-cl/item_64539.html?id=203&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1707239554_bd21cebc8bb994f6c2cb25c094a09d27.jpg,2238741,False,Garrafeira Soares,2025-10-13T19:37:19.433343
RAVASQUEIRA DA FAMILIA RESERVA BRANCO,Vinho Branco Ravasqueira Reserva da Familia 75 Cl,MONTE DA RAVASQUEIRA,100,0,ALENTEJO,"10,95",,BRANCO,"Viognier, Alvarinho",13,"Esta gama super premium do Monte da Ravasqueira é resultado de uma análise profunda efetuada à vinha no ano de 2014, da qual resultou a seleção dos talhões das castas que mais se destacaram pela sua elegância, concentração e carácter, as características-pilar desta gama Reserva Monte da Ravasqueira.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-branco-ravasqueira-reserva-da-familia-75-cl/item_10554.html?id=203&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1710524693_2672181c7988ed04af5e568e1eb9faed.jpg,2212211,False,Garrafeira Soares,2025-10-13T19:37:19.433492
RAVASQUEIRA SAUVIGNON BRANCO,Vinho Branco Ravasqueira Sauvignon 75 Cl,MONTE DA RAVASQUEIRA,100,0,LISBOA,"6,49",,BRANCO,Sauvignon Blanc,13,"Este monovarietal Sauvignon Blanc é a resposta ao desafio de criar um vinho de uma casta que não existe no Alentejo, mas que demonstra toda a filosofia enológica, carácter e qualidade do projeto de vinhos do Monte da Ravasqueira.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-branco-ravasqueira-sauvignon-75-cl/item_106984.html?id=203&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1754475512_5a53a04fd1286fe46ff653b8cd7ca34a.jpg,2233201,False,Garrafeira Soares,2025-10-13T19:37:19.433631
CARDO BRANCO,Vinho Branco Cardo 75 Cl,QUINTA DO CARDO,100,0,BEIRA INTERIOR,"6,49",,BRANCO,Siria,12,"Os vinhos da Quinta do Cardo representam a identidade da Beira Interior. O modo de  produção biológico dos vinhos da Quinta do Cardo, pioneiro em Portugal, permite a preservação da fauna e flora autóctone, fomentando a biodiversidade do nosso ecossistema agrícola, com um forte impacto na qualidade final dos vinhos que aqui são produzidos. Na década de 1930 foi produzido o primeiro vinho na Quinta do Cardo, que recebeu o nome de Branco Maia. Em 1986 foi engarrafado o primeiro branco com a marca Q...",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-branco-cardo-75-cl/item_64525.html?id=203&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1737915563_ac157ae17b9cf8e2810ed7b0ee4abbd5.jpg,2238701,False,Garrafeira Soares,2025-10-13T19:37:19.433759
CASTELO DE TAVIRA BRANCO,Vinho Branco Castelo de Tavira 75 Cl,CASA SANTOS LIMA,100,0,ALGARVE,"6,95",,BRANCO,Arinto,12,Vinho Regional Algarvio,https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-branco-castelo-de-tavira-75-cl/item_62250.html?id=203&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1684747840_c59408178ff366873ca7e12088970a37.jpg,2204091,False,Garrafeira Soares,2025-10-13T19:37:19.433960
DESPEDIDA SAUVIGNON BLANC BRANCO,Vinho Branco Despedida Sauvignon Blanc 75 Cl,CASA SANTOS LIMA,100,0,ALGARVE,"6,95",,BRANCO,Sauvignon Blanc,"12,5","Não há muitas palavras que definam despedida. E há muitas despedidas dentro dessas despedidas. Neste despertar de sentidos este vinho foi eleborado a partir de uvas da casta Sauvignon Blanc plantadas muito perto do mar, o que lhe conferiu frescura.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-branco-despedida-sauvignon-blanc-75-cl/item_13170.html?id=203&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1749195740_ce5e8c9098d5cfc29580eca223b77ab4.jpg,2204061,False,Garrafeira Soares,2025-10-13T19:37:19.434078
DONA ERMELINDA BRANCO,Vinho Branco Dona Ermelinda 75 Cl,CASA ERMELINDA FREITAS,100,0,SETÚBAL,"4,25",,BRANCO,"Fernão Pires, Arinto, Antão Vaz, Chardonnay","13,5","Marca de referência de Palmela, Dona Ermelinda possui uma forte identidade individual, uma imagem elegante e familiar, assumindo-se como a escolha certa e segura para todos os dias. Com denominação de origem controlada de Palmela, apresenta uma excelente relação qualidade/preço.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-branco-dona-ermelinda-75-cl/item_10663.html?id=203&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1706723320_1ff61009d6bb7a6fd1dabbfc9c3d5077.jpg,2230301,False,Garrafeira Soares,2025-10-13T19:37:19.434217
NIEPOORT CARACOLETE BRANCO,Vinho Branco Niepoort Caracolete 2015 75 Cl,NIEPOORT,100,2015,BAIRRADA,"25,99","32,49",BRANCO,"Maria Gomes, Bical",12,"O Caracolete é um vinho proveniente de vinha velha, fermentação espontânea e maceração de uva inteira.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-branco-niepoort-caracolete-2015-75-cl/item_56359.html?id=203&cat=254&pc=7,https://www.garrafeirasoares.pt/temp/1678875273_4f3c906021ed3ce0fa862d868ce5649a.jpg,2236851,False,Garrafeira Soares,2025-10-13T19:37:19.434339
DESPEDIDA ROSÉ,Vinho Rose Despedida 75 Cl,CASA SANTOS LIMA,100,0,ALGARVE,"5,25",,ROSÉ,"Touriga Nacional, Syrah",13,Vinho Regional Algarvio,https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-rose-despedida-75-cl/item_12194.html?id=204&cat=254&pc=6,https://www.garrafeirasoares.pt/temp/1720715798_be5642f9e4b58939e071aa1c8a1bc150.jpg,2404051,False,Garrafeira Soares,2025-10-13T19:37:20.489029
JOAO PIRES ROSÉ,Vinho Rose Joao Pires 75 Cl,JOSÉ MARIA DA FONSECA,100,0,SETÚBAL,"4,01","4,45",ROSÉ,Moscatel de Setubal; Touriga Nacional,12,"João Pires, um vinho superior, produzido com a casta Moscatel de Setúbal A sua produção teve início na década de 70 definindo se rapidamente, como uma referência no mundo dos vinhos portugueses João Pires Rosé é a segunda referência da marca João Pires.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-rose-joao-pires-75-cl/item_11988.html?id=204&cat=254&pc=6,https://www.garrafeirasoares.pt/temp/1617890428_4b996c46abbbdb5b39276a070a03703f.jpg,2430031,False,Garrafeira Soares,2025-10-13T19:37:20.489212
LAVRADORES FEITORIA ROSÉ,Vinho Rose Lavradores Feitoria 75 Cl,LAVRADORES DE FEITORIA,100,0,DOURO,"4,94","5,49",ROSÉ,Touriga Franca,"12,5","É um vinho rosé, proveniente de uvas das quintas dos diversos produtores de Lavradores de Feitoria. Com notas frutadas mas revelando-se seco na boca, torna-o num rosé com um perfil gastronómico. É uma excelente opção para um consumo do dia-a-dia.",https://www.garrafeirasoares.pt/pt/portugal/vinhos/vinho-rose-lavradores-feitoria-75-cl/item_10875.html?id=204&cat=254&pc=6,https://www.garrafeirasoares.pt/temp/1728376417_f196d6cf39b7a3df9f7331913d4194cf.jpg,2456011,False,Garrafeira Soares,2025-10-13T19:37:20.489365
